epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0749,1.34969,1.92193,1.4064,0.40316,0.48362,0.43346,0.24753,1.55836,2.59582,1.74026,0.000332601,0.000332601,0.0670725
2,133.981,1.29065,1.47436,1.36008,0.65494,0.61547,0.66993,0.41266,1.37404,1.63433,1.61795,0.000652749,0.000652749,0.0340593
3,196.872,1.25673,1.34073,1.34008,0.69044,0.79222,0.80742,0.5146,1.32548,1.20548,1.53744,0.000959696,0.000959696,0.00103296
4,259.833,1.22245,1.21729,1.3186,0.82798,0.86629,0.90511,0.58999,1.2544,0.94492,1.48419,0.0009406,0.0009406,0.0009406
5,324.698,1.18223,1.10904,1.29754,0.79961,0.8443,0.9155,0.59985,1.24967,0.98714,1.45964,0.0009208,0.0009208,0.0009208
6,389.052,1.15933,1.03008,1.28052,0.8655,0.89833,0.93741,0.61668,1.24247,0.80772,1.46859,0.000901,0.000901,0.000901
7,456.417,1.1194,0.9646,1.26051,0.90065,0.88703,0.939,0.63391,1.21015,0.73776,1.43587,0.0008812,0.0008812,0.0008812
8,519.766,1.10998,0.92022,1.25498,0.91538,0.89341,0.95328,0.64094,1.18926,0.70275,1.42469,0.0008614,0.0008614,0.0008614
9,584.259,1.08738,0.86403,1.24318,0.93045,0.92592,0.9581,0.64615,1.18416,0.6867,1.42162,0.0008416,0.0008416,0.0008416
10,648.098,1.06637,0.8398,1.2298,0.91574,0.93187,0.95902,0.65828,1.13876,0.64443,1.38434,0.0008218,0.0008218,0.0008218
11,710.681,1.05609,0.80076,1.22429,0.91547,0.93488,0.95747,0.65961,1.141,0.64086,1.3822,0.000802,0.000802,0.000802
12,774.701,1.05035,0.78053,1.21975,0.92572,0.94052,0.96355,0.66103,1.14114,0.61805,1.38452,0.0007822,0.0007822,0.0007822
13,837.477,1.04165,0.76614,1.21997,0.95186,0.94327,0.97167,0.67687,1.12626,0.56825,1.374,0.0007624,0.0007624,0.0007624
